"","Nimi","Osoite","Postinro","Paikkakunta","Kaupunginosa","Aukioloaika","NA"
"8503","NT-Bags","Aleksanterinkatu 36","00100","Helsinki","Kluuvi","","Laukkuliikkeet"
"8504","NT-Bags","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Laukkuliikkeet"
"8505","NT-Bags","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Laukkuliikkeet"
"8508","Nur pizza-kebab","Yhdyskunnantie 43","00680","Helsinki","Itä-Pakila","","Pizzeriat"
"8511","Nymix","Arinatie 4","00370","Helsinki","Pitäjänmäki","","Muut"
"8512","O.N.L.Y.","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Vaatekaupat"
"8514","Ogelin Korupaja","Kylänvanhimmantie 29","00640","Helsinki","Patola","","Koru- Ja kelloliikkeet"
"8517","Olarin apteekki","Kuunkierros 1","02210","Espoo","Kuitinmäki","","Apteekit"
"8519","Omenahotelli","Eerikinkatu 24","00100","Helsinki","Kamppi","","Hotellit"
"8520","Omenahotelli","Yrjönkatu 30","00100","Helsinki","Kamppi","","Hotellit"
"8521","Omenahotelli","Lönnrotinkatu 13","00120","Helsinki","Kamppi","","Hotellit"
"8531","Omenapuu","Keskuskatu 6","00100","Helsinki","Kluuvi","","Ravintolat"
"8532","Only","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"8540","Optikko Arvola","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Optikot"
"8542","Optilook","Lapinlahdenkatu 7","00180","Helsinki","Kamppi","","Optikot"
"8543","Optilook","Itäkatu 1","00930","Helsinki","Itäkeskus","","Optikot"
"8544","Oral Hammaslääkärit","Itätuulenkuja 10 B","02100","Espoo","Tapiola","","Hammaslääkärit"
"8546","Oral Hammaslääkärit","Erottajankatu 5 A","00130","Helsinki","Kaartinkaupunki","","Hammaslääkärit"
"8547","Oral Hammaslääkärit","Siltasaarenkatu 16","00530","Helsinki","Siltasaari","","Hammaslääkärit"
"8548","Oral Hammaslääkärit","Tallinnanaukio 4 B","00930","Helsinki","Itäkeskus","","Hammaslääkärit"
"8549","Oral Hammaslääkärit","Lauttasaarentie 6","00200","Helsinki","Lauttasaari","","Hammaslääkärit"
"8550","Oral Hammaslääkärit","Tukholmankatu 2 B","00290","Helsinki","Meilahti","","Hammaslääkärit"
"8551","Oral Hammaslääkärit","Sibeliuksenkatu 11 A 4","00250","Helsinki","Taka-Töölö","","Hammaslääkärit"
"8572","Oral Hammaslääkärit","Kielotie 14 B","01300","Vantaa","Tikkurila","","Hammaslääkärit"
"8573","Orient Express","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Ravintolat"
"8578","OstetaanAutoja.fi","Pengerkatu 15","00530","Helsinki","Kallio","","Autoliikkeet"
"8637","Osuuspankki","Kauniaisentie 7","02700","Kauniainen"," ","","Pankit"
"8638","Osuuspankki","Kauniaistentie 7","02700","Kauniainen","Kauniainen","","Pankit"
"8792","Otaniemen apteekki","Otakaari 13","02150","Espoo","Otaniemi","","Apteekit"
"8800","Oulunkylän Apteekki","Kylänvanhimmantie 29","00640","Helsinki","Oulunkylä","","Apteekit"
"8801","Oulunkylän kirjasto","Kylänvanhimmantie 27","00640","Helsinki","Patola","","Kirjastot"
"8806","Oy Matkahuolto Ab","Narinkka 1","00100","Helsinki","Kamppi","","Postit"
"8807","Oy Matkahuolto Ab","Narinkka 3","00100","Helsinki","Helsinki","","Postit"
"8809","Pääkaupunkiseudun verotoimisto","Rajatorpantie 8 A","00052","Vantaa","Myyrmäki","","Virastot"
"8812","Pähkinärinteen apteekki","Lammaslammentie 9","01710","Vantaa","Hämeenkylä","","Apteekit"
"8814","Paintball Sissos Oy","Itäinen Vaihdekuja 8","00220","Helsinki","Jätkäsaari","","Muut"
"8818","Pakilan apteekki","Pakilantie 56","00660","Helsinki","Länsi-Pakila","","Apteekit"
"8820","Paloheinän kirjasto","Paloheinäntie 22","00099","Helsinki","Paloheinä","","Kirjastot"
"8831","Papa Albert","Albertinkatu 30","00120","Helsinki","Kamppi","","Ravintolat"
"8833","Pappa Pizza","Hyttimestarintie 6","02780","Espoo","Vanttila","","Pizzeriat"
"8834","Paraslukko Security Oy","Lauttasaarentie 6","00200","Helsinki","Lauttasaari","","Muut"
"8835","Paratiisilintu","Mechelininkatu 28","00100","Helsinki","Etu-Töölö","","Eläinkaupat"
"8842","Partioaitta Itis","Itäkatu 1-5 A 25","00930","Helsinki","Itäkeskus","","Muut"
"8843","Partioaitta Jumbo","Valuuttakatu 2","01510","Vantaa","Pakkala","","Muut"
"8846","Partioaitta Outlet","Porttipuistontie 1","01200","Vantaa","Kuninkaala","","Retkeily"
"8848","Partioaitta Sello","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Muut"
"8850","Partioaitta Tapiola","Itätuulentie 8","02100","Espoo","Tapiola","","Muut"
"8852","Partioaitta Yrjönkatu","Yrjönkatu 36","00100","Helsinki","Kamppi","","Muut"
"8855","Parturi-kampaamo Jo-Jo","Rautkalliontie 10","01360","Vantaa","Havukoski","","Parturit ja kampaamot"
"8857","Pasilan apteekki","Ratapihantie 6","00520","Helsinki","Itä-Pasila","","Apteekit"
"8858","Pasilan aseman eläinkauppa","Ratapihantie 6","00520","Helsinki","Itä-Pasila","","Eläinkaupat"
"8859","Pasilan pääkirjasto","Rautatieläisenkatu 8","00099","Helsinki","Itä-Pasila","","Kirjastot"
"8866","Pelago Bicycles","Kalevankatu 32","00100","Helsinki","Vallila","","Urheilukaupat"
"8867","Pelican Self Storage","Lauttasaarentie 54","00200","Helsinki","Lauttasaari","","Muut"
"8878","Pentik","Piispansilta 11","02230","Espoo","Matinkylä","","Sisustusliikkeet"
"8879","Pentik","Siltakatu 11","02770","Espoo","Suvela","","Sisustusliikkeet"
"8880","Pentik","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Sisustusliikkeet"
"8885","Pentik","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Sisustusliikkeet"
"8886","Pentik","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Sisustusliikkeet"
"8887","Pentik","Hämeentie 135 A","00560","Helsinki","Arabianranta","","Sisustusliikkeet"
"8888","Pentik","Itäkatu 1-5 C 137","00930","Helsinki","Itäkeskus","","Sisustusliikkeet"
"8889","Pentik","Mannerheimintie 5","00100","Helsinki","Kluuvi","","Sisustusliikkeet"
"8949","Pentik","Iskoskuja 3 B 58","01600","Vantaa","Myyrmäki","","Sisustusliikkeet"
"8950","Pentik","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Sisustusliikkeet"
"8956","Peroba","Fredrikinkatu 33","00120","Helsinki","Punavuori","","Sisustusliikkeet"
"8963","PETRIFUN Store","Urho Kekkosen katu 3-7","00100","Helsinki","Kamppi","","Vaatekaupat"
"8967","Pieces","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"8971","Pieneläinklinikka Tuhatjalka Helsinki","Telakkakatu 3","00150","Helsinki","Eira","","Eläinlääkärit"
"8973","Pieni Akvaariokauppa","Hämeentie 6","00530","Helsinki","Linjat","","Eläinkaupat"
"8977","Pihlajamäen apteekki","Meripihkatie 3","00710","Helsinki","Pihlajamäki","","Apteekit"
"8978","Pihlajiston sivuapteekki","Salpausseläntie 13","00710","Helsinki","Pihlajisto","","Apteekit"
"8984","Pikku Huopalahden lastenkirjasto","Tilkankatu 19","00099","Helsinki","Ruskeasuo","","Kirjastot"
"8985","Pikku huopalahden sivuapteekki","Korppaanmäentie 4","00300","Helsinki","Ruskeasuo","","Apteekit"
"8986","Pikku-Huopalahden sivuapteekki","Korppaanmäentie 4","00300","Helsinki","Ruskeasuo","","Apteekit"
"8988","Pikku huopalahden sivuapteekki","Korppaanmäentie 4","00300","Helsinki","Ruskeasuo","","Apteekit"
"8989","Pikku-Huopalahden sivuapteekki","Korppaanmäentie 4","00300","Helsinki","Ruskeasuo","","Apteekit"
"8990","Pikkukenguru","Urho Kekkosen katu 5 A","00100","Helsinki","Kamppi","","Sisustusliikkeet"
"8991","Pikkuväki","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"8996","Pirkkolan Uimahalli","Kaarelantie","00630","Helsinki","Maununneva","","Uimahallit"
"8997","Piruetti","Yrjönkatu 31","00100","Helsinki","Kamppi","","Vaatekaupat"
"9000","Pitäjänmäen apteekki","Ajomiehentie 1","00390","Helsinki","Konala","","Apteekit"
"9001","Pitäjänmäen kirjasto","Jousipolku 1","00099","Helsinki","Reimarla","","Kirjastot"
"9002","Pitäjänmäen Pizzapalvelu","Pitäjänmäentie 15","00370","Helsinki","Reimarla","","Pizzeriat"
"9013","Pizzeria Ravintola Roseway","Ruusutarhantie 5","00300","Helsinki","Etelä-Haaga","","Pizzeriat"
"9014","Plantagen Espoo","Rusthollarinkatu 2","02270","Espoo","Suomenoja","","Kukkakaupat"
"9015","Plantagen Helsinki","Vartioharjuntie 13","00950","Helsinki","Vartioharju","","Kukkakaupat"
"9024","Plantagen Vantaa","Valimotie 10","01510","Vantaa","Tammisto","","Kukkakaupat"
"9025","Platasco","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Koru- Ja kelloliikkeet"
"9030","Pohjois-Haagan kirjasto","Kaupintie 4","00099","Helsinki","Lassila","","Kirjastot"
"9032","Polarn O. Pyret","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Lastenliikkeet"
"9033","Polarn O. Pyret","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Lastenliikkeet"
"9034","Polarn O. Pyret","Itäkatu 1-7","00930","Helsinki","Itäkeskus","","Lastenliikkeet"
"9046","Polarn O. Pyret","Tasetie 8","01510","Vantaa","Pakkala","","Lastenliikkeet"
"9049","Ponke's The Shop","Simonkatu 6","00100","Helsinki","Kamppi","","Urheilukaupat"
"9050","Ponsec Oy","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Muut"
"9063","POP Pankki","Kasarmikatu 38","00130","Helsinki","Kaartinkaupunki","","Pankit"
"9064","POP Pankki","Kalevankatu 4","00100","Helsinki","Kamppi","","Pankit"
"9159","Popot","Iso Roobertinkatu 7","00120","Helsinki","Punavuori","","Kenkäkaupat"
"9160","Popot","Tarkkaampujankatu 12 B","00150","Helsinki","Ullanlinna","","Kenkäkaupat"
"9211","Posti","Kauppamiehentie 1","02100","Espoo","Tapiola","","Postit"
"9212","Posti","Ahventie 2","02170","Espoo","Haukilahti","","Postit"
"9213","Posti","Piispansilta 11","02230","Espoo","Matinkylä","","Postit"
"9214","Posti","Finnoonristi 1","02270","Espoo","Eestinmalmi","","Postit"
"9215","Posti","Espoonlahdenkatu 4-6","02320","Espoo","Espoonlahti","","Postit"
"9216","Posti","Soukantie 16","02360","Espoo","Soukanmäki","","Postit"
"9217","Posti","Leppävaarankatu 3 A","02600","Espoo","Etelä-Leppävaara","","Postit"
"9218","Posti","Karakalliontie 10","02620","Espoo","Karakallio","","Postit"
"9219","Posti","Kamreerintie 3","02770","Espoo","Suvela","","Postit"
"9220","Posti","Klippinkitie 9","02780","Espoo","Kauklahti","","Postit"
"9221","Posti","Lippajärventie 29","02940","Espoo","Lippajärvi","","Postit"
"9222","Posti","Lahnuksentie 2","02970","Espoo","Lahnus","","Postit"
"9223","Posti","Malminkorpi 2","02280","Espoo","Malminmäki","","Postit"
"9267","Posti","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Postit"
"9268","Posti","Annankatu 8","00120","Helsinki","Punavuori","","Postit"
"9269","Posti","Kasarmikatu 19","00130","Helsinki","Kaartinkaupunki","","Postit"
"9270","Posti","Rauhankatu 10","00170","Helsinki","Kruununhaka","","Postit"
"9271","Posti","Tyynenmerenkatu 11","00220","Helsinki","Jätkäsaari","","Postit"
"9272","Posti","Rahakamarinkatu 1","00240","Helsinki","Länsi-Pasila","","Postit"
"9273","Posti","Linnankoskenkatu 14","00250","Helsinki","Taka-Töölö","","Postit"
"9274","Posti","Tunnelitie 10","00320","Helsinki","Etelä-Haaga","","Postit"
"9275","Posti","Raumantie 1","00350","Helsinki","Munkkivuori","","Postit"
"9276","Posti","Konalantie 6-8","00370","Helsinki","Reimarla","","Postit"
"9277","Posti","Konalankuja 2","00390","Helsinki","Konala","","Postit"
"9278","Posti","Pihkatie 6","00410","Helsinki","Malminkartano","","Postit"
"9279","Posti","Sturenkatu 21","00510","Helsinki","Vallila","","Postit"
"9280","Posti","Asemapäällikönkatu 3","00520","Helsinki","Itä-Pasila","","Postit"
"9281","Posti","Säästöpankinranta 2","00530","Helsinki","Siltasaari","","Postit"
"9282","Posti","Hämeentie 135 A","00560","Helsinki","Arabianranta","","Postit"
"9283","Posti","Pohjolankatu 38","00610","Helsinki","Käpylä","","Postit"
"9284","Posti","Siltavoudintie 4","00640","Helsinki","Patola","","Postit"
"9285","Posti","Pakilantie 56","00660","Helsinki","Länsi-Pakila","","Postit"
"9286","Posti","Hietakummuntie 19","00700","Helsinki","Ala-Malmi","","Postit"
"9287","Posti","Meripihkatie 3","00710","Helsinki","Pihlajamäki","","Postit"
"9288","Posti","Eskolantie 1","00720","Helsinki","Pukinmäki","","Postit"
"9289","Posti","Päivöläntie 24","00730","Helsinki","Tapanila","","Postit"
"9290","Posti","Jousimiehentie 3","00740","Helsinki","Siltamäki","","Postit"
"9291","Posti","Maatullinaukio 10","00750","Helsinki","Tapulikaupunki","","Postit"
"9292","Posti","Latokartanonkaari 23","00790","Helsinki","Latokartano","","Postit"
"9293","Posti","Linnanrakentajantie 4","00880","Helsinki","Herttoniemi","","Postit"
"9294","Posti","Kraputie 2","00890","Helsinki","Östersundom","","Postit"
"9295","Posti","Myllypurontie 22","00920","Helsinki","Myllypuro","","Postit"
"9296","Posti","Tallinnanaukio 6","00930","Helsinki","Itäkeskus","","Postit"
"9297","Posti","Ostostie 4","00940","Helsinki","Kontula","","Postit"
"9298","Posti","Rukatunturintie 2","00970","Helsinki","Mellunmäki","","Postit"
"9299","Posti","Vuotie 45","00980","Helsinki","Keski-Vuosaari","","Postit"
"9300","Posti","Elielinaukio 2 F","00100","Helsinki","Kluuvi","","Postit"
"9301","Posti","Gyldenintie 7","00200","Helsinki","Lauttasaari","","Postit"
"9302","Posti","Torpparinmäentie 1 A","00690","Helsinki","Torpparinmäki","","Postit"
"9303","Posti","Suomenlinna C 6","00190","Helsinki","Suomenlinna","","Postit"
"9421","Posti","Tunnelitie 4","02700","Kauniainen","Kauniainen","","Postit"
"9984","Posti","Suunnistajankuja 2","01280","Vantaa","Länsimäki","","Postit"
"9985","Posti","Kielotie 8","01300","Vantaa","Tikkurila","","Postit"
"9986","Posti","Talkootie 7","01350","Vantaa","Hiekkaharju","","Postit"
"9987","Posti","Asolanväylä 50","01360","Vantaa","Koivukylä","","Postit"
"9988","Posti","Nietostie 19","01390","Vantaa","Ilola","","Postit"
"9989","Posti","Minkkikuja 4","01450","Vantaa","Metsola","","Postit"
"9990","Posti","Venuksenkuja 4","01480","Vantaa","Mikkola","","Postit"
"9991","Posti","Valimotie 9","01510","Vantaa","Tammisto","","Postit"
"9992","Posti","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Postit"
"9993","Posti","Kaivokselantie 1","01610","Vantaa","Kaivoksela","","Postit"
"9994","Posti","Askistontie 1","01680","Vantaa","Askisto","","Postit"
"9995","Posti","Vantaanrinne 14","01730","Vantaa","Piispankylä","","Postit"
"10051","Posti noutopiste","Niittykummuntie 2","02207","Espoo","Niittykumpu","","Postit"
"10052","Posti noutopiste","Kuunkehrä 4","02217","Espoo","Kuitinmäki","","Postit"
"10053","Posti noutopiste","Läkkisepänkuja 2","02657","Espoo","Pohjois-Leppävaara","","Postit"
"10054","Posti noutopiste","Sokinsuontie 4","02767","Espoo","Suvela","","Postit"
"10055","Posti noutopiste","Mannerheimintie 96","00257","Helsinki","Taka-Töölö","","Postit"
"10056","Posti noutopiste","Tukholmankatu 11","00277","Helsinki","Meilahti","","Postit"
"10057","Posti noutopiste","Korppaanmäentie 4","00307","Helsinki","Ruskeasuo","","Postit"
"10058","Posti noutopiste","Näyttelijäntie 14","00407","Helsinki","Pohjois-Haaga","","Postit"
"10059","Posti noutopiste","Hopeatie 2","00447","Helsinki","Lassila","","Postit"
"10060","Posti noutopiste","Hämeentie 29","00507","Helsinki","Harju","","Postit"
"10061","Posti noutopiste","Svinhufvudintie 1","00577","Helsinki","Kulosaari","","Postit"
"10062","Posti noutopiste","Huokotie 1","00777","Helsinki","Jakomäki","","Postit"
"10063","Posti noutopiste","Kirkonkyläntie 47","00787","Helsinki","Tapaninvainio","","Postit"
"10064","Posti noutopiste","Hiihtomäentie 36","00807","Helsinki","Länsi-Herttoniemi","","Postit"
"10065","Posti noutopiste","Roihuvuorentie 24","00827","Helsinki","Roihuvuori","","Postit"
"10066","Posti noutopiste","Koulutanhua 8 B","00847","Helsinki","Yliskylä","","Postit"
"10067","Posti noutopiste","Rusthollarintie 2","00917","Helsinki","Puotila","","Postit"
"10068","Posti noutopiste","Mustalahdentie 4","00967","Helsinki","Keski-Vuosaari","","Postit"
"10088","Posti noutopiste","Laukkarinne 6","01207","Vantaa","Hakunila","","Postit"
"10089","Posti noutopiste","Laajaniityntie 4","01627","Vantaa","Martinlaakso","","Postit"
"10090","Posti noutopiste","Lammaslammentie 9","01717","Vantaa","Hämeenkylä","","Postit"
"10100","Posti pakettiautomaatti","Soukantie 4","02365","Espoo","Soukanmäki","","Postit"
"10101","Posti pakettiautomaatti","Matinkatu 22","02235","Espoo","Matinmetsä","","Postit"
"10102","Posti pakettiautomaatti","Linnuntie 2","02665","Espoo","Lintukorpi","","Postit"
"10103","Posti pakettiautomaatti","Merivirta 3","02325","Espoo","Kivenlahti","","Postit"
"10104","Posti pakettiautomaatti","Kalevalantie 3","02135","Espoo","Pohjois-Tapiola","","Postit"
"10105","Posti pakettiautomaatti","Komeetankatu 2","02215","Espoo","Kuitinmäki","","Postit"
"10106","Posti pakettiautomaatti","Piispansilta 11","02235","Espoo","Matinkylä","","Postit"
"10107","Posti pakettiautomaatti","Espoonlahdenkatu 4","02325","Espoo","Espoonlahti","","Postit"
"10108","Posti pakettiautomaatti","Leppävaarankatu 3 A","02605","Espoo","Etelä-Leppävaara","","Postit"
"10109","Posti pakettiautomaatti","Sinikalliontie 1","02635","Espoo","Taavinkylä","","Postit"
"10110","Posti pakettiautomaatti","Kuusiniementie 1","02715","Espoo","Viherlaakso","","Postit"
"10111","Posti pakettiautomaatti","Sunantie 1","02765","Espoo","Suvela","","Postit"
"10112","Posti pakettiautomaatti","Juvankartanontie 33","02925","Espoo","Niipperi","","Postit"
"10113","Posti pakettiautomaatti","Kylänportti 16","02945","Espoo","Järvenperä","","Postit"
"10114","Posti pakettiautomaatti","Kilonpuistonkatu 14","02615","Espoo","Nuijala","","Postit"
"10115","Posti pakettiautomaatti","Leppävaarankatu 5","02605","Espoo","Etelä-Leppävaara","","Postit"
"10116","Posti pakettiautomaatti","Ukkohauentie 11-13","02175","Espoo","Haukilahti","","Postit"
"10117","Posti pakettiautomaatti","Kivenlahdentie 9","02325","Espoo","Espoonlahti","","Postit"
"10118","Posti pakettiautomaatti","Lähderanta 1","02725","Espoo","Lähderanta","","Postit"
"10119","Posti pakettiautomaatti","Malminkorpi 1","02285","Espoo","Malminmäki","","Postit"
"10120","Posti pakettiautomaatti","Kutojantie 1","02635","Espoo","Nuijala","","Postit"
"10121","Posti pakettiautomaatti","Kuunkatu 3","02215","Espoo","Kuitinmäki","","Postit"
"10137","Posti pakettiautomaatti","Tyynylaavantie 5","00985","Helsinki","Keski-Vuosaari","","Postit"
"10138","Posti pakettiautomaatti","Postintaival 7 A","00235","Helsinki","Pohjois-Pasila","","Postit"
"10139","Posti pakettiautomaatti","Elielinaukio 2 G","00105","Helsinki","Kluuvi","","Postit"
"10140","Posti pakettiautomaatti","Vartiokyläntie 3","00955","Helsinki","Vartioharju","","Postit"
"10141","Posti pakettiautomaatti","Roihuvuorentie 26","00825","Helsinki","Roihuvuori","","Postit"
"10142","Posti pakettiautomaatti","Korsholmantie 2","00905","Helsinki","Itäkeskus","","Postit"
"10143","Posti pakettiautomaatti","Säterintie 2","00725","Helsinki","Pukinmäki","","Postit"
"10144","Posti pakettiautomaatti","Näyttelijäntie 14","00405","Helsinki","Pohjois-Haaga","","Postit"
"10145","Posti pakettiautomaatti","Salpausseläntie 11","00715","Helsinki","Pihlajisto","","Postit"
"10146","Posti pakettiautomaatti","Pasilanraitio 5","00245","Helsinki","Länsi-Pasila","","Postit"
"10147","Posti pakettiautomaatti","Pakilantie 95","00675","Helsinki","Paloheinä","","Postit"
"10148","Posti pakettiautomaatti","Kylänvanhimmantie 29","00645","Helsinki","Patola","","Postit"
"10149","Posti pakettiautomaatti","Korvatunturintie 2","00975","Helsinki","Mellunmäki","","Postit"
"10150","Posti pakettiautomaatti","Yliskyläntie 3","00845","Helsinki","Yliskylä","","Postit"
"10151","Posti pakettiautomaatti","Mannerheimintie 76","00255","Helsinki","Taka-Töölö","","Postit"
"10152","Posti pakettiautomaatti","Aleksanterinkatu 9","00105","Helsinki","Kluuvi","","Postit"
"10153","Posti pakettiautomaatti","Tyynenmerenkatu 11","00225","Helsinki","Jätkäsaari","","Postit"
"10154","Posti pakettiautomaatti","Ajomiehentie 1","00395","Helsinki","Konala","","Postit"
"10155","Posti pakettiautomaatti","Kantelettarentie 1","00425","Helsinki","Kannelmäki","","Postit"
"10156","Posti pakettiautomaatti","Aleksis Kiven katu 11","00515","Helsinki","Vallila","","Postit"
"10157","Posti pakettiautomaatti","Siltasaarenkatu 18-20","00535","Helsinki","Siltasaari","","Postit"
"10158","Posti pakettiautomaatti","Mäkitorpantie 1","00625","Helsinki","Patola","","Postit"
"10159","Posti pakettiautomaatti","Malminkaari 19","00705","Helsinki","Ala-Malmi","","Postit"
"10160","Posti pakettiautomaatti","Viikintori 3","00795","Helsinki","Viikin tiedepuisto","","Postit"
"10161","Posti pakettiautomaatti","Hitsaajankatu 16","00815","Helsinki","Herttoniemenranta","","Postit"
